Date/Time (LST),Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Meter Reading (KWHr)
09-01-2023 16:00,1,9,16:00,-1.3,-3.2,87,21,23,12.9,99.55,,-7,Snow,10.13
09-01-2023 17:00,1,9,17:00,-1.3,-2.4,92,24,23,4.8,99.57,,-7,Snow,9.893
09-01-2023 18:00,1,9,18:00,-1,-2.1,93,24,21,16.1,99.6,,-7,Snow,9.982
09-01-2023 19:00,1,9,19:00,-0.8,-2,92,24,17,16.1,99.63,,-6,Snow,9.917
09-01-2023 20:00,1,9,20:00,-0.5,-1.8,91,24,15,12.9,99.63,,-5,Snow,9.818
09-01-2023 21:00,1,9,21:00,-0.4,-1.4,93,29,19,8.1,99.69,,-6,Snow Showers,8.137
09-01-2023 22:00,1,9,22:00,-2.1,-4.6,83,33,33,8.1,99.78,,-10,Snow,7.77
09-01-2023 23:00,1,9,23:00,-2.9,-5.9,80,31,25,11.3,99.88,,-10,Snow,7.896
10-01-2023 00:00,1,10,00:00,-3.6,-8.2,71,31,26,24.1,99.94,,-11,NA,8.227
10-01-2023 01:00,1,10,01:00,-5.1,-9.6,71,30,28,24.1,100.02,,-13,Mainly Clear,7.751
10-01-2023 02:00,1,10,02:00,-6.3,-9.3,79,32,21,24.1,100.09,,-13,NA,8.21
10-01-2023 03:00,1,10,03:00,-6.6,-9.9,78,33,23,16.1,100.23,,-14,Snow Showers,6.891
10-01-2023 04:00,1,10,04:00,-8,-10.7,81,33,14,16.1,100.27,,-14,Mainly Clear,5.546
10-01-2023 05:00,1,10,05:00,-8.2,-10.6,83,30,14,8.1,100.33,,-14,Snow Showers,7.075
10-01-2023 06:00,1,10,06:00,-9.3,-10.9,88,31,9,12.9,100.4,,-14,NA,9.756
10-01-2023 07:00,1,10,07:00,-9.1,-12.3,77,32,14,24.1,100.47,,-15,Cloudy,8.695
10-01-2023 08:00,1,10,08:00,-9.1,-12.7,75,32,17,24.1,100.51,,-16,NA,10.287
10-01-2023 09:00,1,10,09:00,-8.9,-12.3,76,33,13,24.1,100.59,,-15,NA,10.559
10-01-2023 10:00,1,10,10:00,-8.8,-12.3,76,30,14,16.1,100.62,,-15,Snow Showers,9.882
10-01-2023 11:00,1,10,11:00,-8.5,-12.1,75,33,9,24.1,100.62,,-13,Snow Showers,10.086
10-01-2023 12:00,1,10,12:00,-8.2,-12.2,73,32,15,24.1,100.6,,-15,Snow,10.15
10-01-2023 13:00,1,10,13:00,-8.1,-11.8,75,32,14,24.1,100.58,,-14,Snow,10.045
10-01-2023 14:00,1,10,14:00,-8,-12.2,72,34,9,24.1,100.59,,-13,NA,10.215
10-01-2023 15:00,1,10,15:00,-8,-12.1,73,32,12,24.1,100.64,,-13,NA,10.955
10-01-2023 16:00,1,10,16:00,-8.6,-12.4,74,30,10,24.1,100.7,,-14,Mainly Clear,10.721
10-01-2023 17:00,1,10,17:00,-9.6,-13.3,75,32,9,24.1,100.72,,-14,NA,10.78
10-01-2023 18:00,1,10,18:00,-9.5,-12.8,77,32,9,24.1,100.78,,-14,NA,10.709
10-01-2023 19:00,1,10,19:00,-10.4,-13.5,78,32,8,24.1,100.83,,-15,Clear,10.749
